"SubjectID","ParticipantAge","ParticipantGender","Nationality","FirstLanguage","LearningEnglish","LearningChinese","ChineseSchool","EnglishSchool","SpokenChinese","WrittenChinese","ChineseReading","SpokenEnglish","WrittenEnglish","EnglishReading","Current%Chinese","Current%English","Childhood%Chinese","Childhood%English","OtherLanguageKnowledge","EnglishLexTale","ChineseLexTale"
4686882,38,"Female","British","Chinese","13","0","16",10,7,7,7,6,6,6,10,90,100,0,"No",91.25,86.6666666666667
4686899,24,"Male","Chinese","Chinese","12","0","24",12,7,7,7,4,3,5,85,15,95,5,"No",60,90.8333333333333
4686932,24,"Male","China","Chinese","8","6","18",16,7,7,7,7,7,7,7,93,97,3,"No",65,86.6666666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4687024,24,"Male","Chinese","Chinese","7","0","16",10,7,7,7,6,7,5,58,42,90,10,"Yes",67.5,85.8333333333333
4687030,27,"Female","China","Chinese","9","1","14",11,7,6,7,6,5,6,80,87,100,0,"Yes",68.75,80
4687077,32,"Female","Chinese","Chinese","9","0","15",12,7,7,7,6,6,6,10,90,98,2,"No",52.5,78.3333333333333
4687205,22,"Male","Chinese","Chinese","11","0","15",7,7,7,7,5,6,6,80,20,90,10,"Yes",46.25,87.5
4687460,26,"Female","Chinese","Chinese","10","0","14",6,5,5,7,4,5,6,50,50,95,5,"No",77.5,85.8333333333333
4687456,25,"Male","China","Chinese","10","1","15",13,7,7,7,6,5,6,80,20,90,10,"Yes",70,85.8333333333333
4687462,26,"Female","chinese","English","5","11","5",15,5,4,4,7,7,7,10,90,60,40,"No",90,56.6666666666667
4687568,37,"Male","CHINA","Chinese","12","0","9",14,7,7,7,6,5,6,60,40,100,0,"Yes",65,83.3333333333333
4687587,33,"Male","China","Chinese","10","from born/childhood","12",9,7,7,7,6,6,6,60,40,100,0,"No",68.75,81.6666666666667
4687634,23,"Female","USA","Chinese","5","3","8",11,6,5,5,6,6,6,40,60,95,5,"No",65,80.8333333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
