contrast,ratio,SE,df,null,z.ratio,p.value,rep,beta_0,beta_s,beta_l,beta_t,beta_sl,beta_st,beta_lt,beta_slt,sigma
(switch / repetition incongruent) / (switch / repetition neutral),0.9867670397529000,0.010122204721520000,Inf,1,-1.2986316921878000,0.19407035634056400,6,6.945,0.0875,-0.0171,0.041,0.0101,0,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.027416146312750,0.013307094953818100,Inf,1,2.0882529758411100,0.036775020862727000,6,6.945,0.0875,-0.0171,0.041,0.0101,0.001,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),0.9990739915411320,0.011769012144889400,Inf,1,-0.0786454775675827,0.9373146136692700,6,6.945,0.0875,-0.0171,0.041,0.0101,0.002,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0081215599588100,0.011790982096085200,Inf,1,0.6915836898554640,0.48919880726172300,6,6.945,0.0875,-0.0171,0.041,0.0101,0.003,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0352407519742000,0.011453199230078300,Inf,1,3.130526075407840,0.0017449350745953300,6,6.945,0.0875,-0.0171,0.041,0.0101,0.004,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0179999280031200,0.012296727810824200,Inf,1,1.4768939877941100,0.13970405680963900,6,6.945,0.0875,-0.0171,0.041,0.0101,0.005,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0395423723083300,0.011363484206803300,Inf,1,3.547685328602030,3.8863222818015E-04,6,6.945,0.0875,-0.0171,0.041,0.0101,0.006,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0467644613058000,0.010772403732567600,Inf,1,4.441094358882980,8.95025349616432E-06,6,6.945,0.0875,-0.0171,0.041,0.0101,0.007,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0272374564557600,0.011843779301289500,Inf,1,2.330765592930580,0.019765723330227800,6,6.945,0.0875,-0.0171,0.041,0.0101,0.008,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0591472893393400,0.011014551644226200,Inf,1,5.525689149091970,3.28194774137254E-08,6,6.945,0.0875,-0.0171,0.041,0.0101,0.009000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.036931757665100,0.011563017852584200,Inf,1,3.252221145367750,0.0011450689260394700,6,6.945,0.0875,-0.0171,0.041,0.0101,0.01,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.034779753758890,0.012855494301583700,Inf,1,2.751949962571320,0.0059241571963170600,6,6.945,0.0875,-0.0171,0.041,0.0101,0.011,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0561924571867500,0.012909937950487200,Inf,1,4.472715922240270,7.7232349766214E-06,6,6.945,0.0875,-0.0171,0.041,0.0101,0.012,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0673199722186600,0.01342748561702280,Inf,1,5.178687964998320,2.23451859198784E-07,6,6.945,0.0875,-0.0171,0.041,0.0101,0.013000000000000000,0.0152,0.00127,0.22
(switch / repetition incongruent) / (switch / repetition neutral),1.0574651027326600,0.011523294729161900,Inf,1,5.127480850603110,2.93644837250255E-07,6,6.945,0.0875,-0.0171,0.041,0.0101,0.014,0.0152,0.00127,0.22
